# LAMMPS data file written by OVITO Basic 3.6.0
30000 atoms
2 atom types
-2.3723143289 29.7123143289 xlo xhi
-2.2951254236 29.6351254237 ylo yhi
53.2182693266 493.5817306734 zlo zhi

Atoms  # full

133 1 2 2.2208 0.581541 -0.365363 55.744
26199 1 2 2.2208 0.0715043 -1.20672 58.9174
27147 1 2 2.2208 1.96698 2.34097 58.3518
1744 1 2 2.2208 1.70652 3.18231 54.9289
908 1 1 -1.1104 0.461403 2.88081 60.0725
27193 1 2 2.2208 3.98157 -0.505471 57.4054
4781 1 1 -1.1104 4.48711 1.76005 57.9218
29218 1 1 -1.1104 -0.136186 0.907647 57.6202
27997 1 2 2.2208 -1.56865 2.53629 56.8632
28951 1 1 -1.1104 2.22344 1.22891 56.3129
2634 1 1 -1.1104 0.387894 3.70818 56.9279
21336 1 1 -1.1104 -0.595845 -0.132061 61.0193
26417 1 1 -1.1104 -0.442191 1.72666 54.967
28211 1 1 -1.1104 2.38139 0.483371 59.7567
28143 1 2 2.2208 -0.864083 4.58771 60.793
5671 1 1 -1.1104 3.33987 3.6071 59.761
559 1 1 -1.1104 2.92664 3.84694 56.8018
917 1 1 -1.1104 4.91048 -0.0485121 59.8776
28527 1 2 2.2208 3.54863 -1.07295 61.2169
1920 1 1 -1.1104 -1.7089 4.33735 55.4006
29668 1 2 2.2208 5.24385 3.11701 56.2818
28256 1 1 -1.1104 -0.926315 -1.88569 56.6826
2399 1 1 -1.1104 1.68023 -1.46992 57.3107
468 1 1 -1.1104 4.25906 3.04155 54.3556
26402 1 2 2.2208 5.01502 2.06902 60.3099
28925 1 1 -1.1104 -1.84471 3.94129 58.5762
29750 1 2 2.2208 5.23299 -1.28972 53.7401
28908 1 1 -1.1104 1.7315 0.888973 53.6599
2984 1 1 -1.1104 5.22671 0.355208 55.5117
3814 1 1 -1.1104 2.66111 5.56729 53.7887
2771 1 1 -1.1104 4.92268 5.37105 56.352
1108 1 2 2.2208 21.1575 13.3095 55.7065
29365 1 2 2.2208 -0.814698 5.80775 57.0301
24 1 1 -1.1104 -0.878334 -0.867573 53.6524
29592 1 1 -1.1104 2.38891 13.5174 63.153
29543 1 1 -1.1104 9.42516 13.5808 58.9278
3319 1 1 -1.1104 6.67989 4.23435 57.6684
535 1 1 -1.1104 6.31569 -1.19481 57.4247
29779 1 1 -1.1104 7.34677 1.04744 58.2567
494 1 2 2.2208 7.67945 0.18402 55.9148
22072 1 2 2.2208 8.68691 2.82461 58.3547
2126 1 2 2.2208 7.18657 -0.824349 59.7477
3816 1 1 -1.1104 7.40997 2.33958 55.7876
7517 1 1 -1.1104 11.0547 3.5565 54.2838
